row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000244405.7,1133.3497361824718,3.6847929830163593,0.09654780716300622,38.16547564664156,0,0
ENSG00000122861.15,17616.032382098216,2.204845972497116,0.05873819204678336,37.53683754414873,0,0
ENSG00000172927.7,1418.495508209214,3.2961409303572893,0.0858084083934287,38.41279650875929,0,0
ENSG00000110092.3,6092.204099483793,2.454990579388328,0.0615183976965792,39.90660796298406,0,0
ENSG00000139318.7,1224.581186761491,5.420287291636652,0.13990154645947356,38.74358381883071,0,0
ENSG00000175592.8,14877.52500681198,3.011119512854711,0.08576839171848427,35.10756646502179,5.167276905124395e-270,1.4724155541151965e-266
ENSG00000149948.13,3030.679543226742,2.501360865309306,0.07730921294732988,32.35527526342122,1.1694648107824091e-229,2.856334267135264e-226
ENSG00000171552.12,8485.358645719347,1.7640942652861875,0.055601071232373116,31.72770283352136,6.447996778372008e-221,1.3780175114978278e-217
ENSG00000139289.13,15193.728992452461,2.155929704241728,0.06883939362998656,31.318255297684686,2.633274360934265e-215,5.002343527654793e-212
ENSG00000167772.11,771.260818254709,5.692750159674688,0.1883570274314433,30.22318963780998,1.1746027732284824e-200,2.0082183613887365e-197
ENSG00000142627.12,6011.2167510751515,2.82064987011236,0.09671244644080272,29.165324360178065,5.340908957559236e-187,8.301229131580932e-184
ENSG00000198743.6,5573.546356327906,-1.8931601015212756,0.06587663515905465,-28.737959929956492,1.2808371873240607e-181,1.8248727826399555e-178
ENSG00000134531.9,16472.151315953015,1.75051377070155,0.06297655832753082,27.796275585550624,4.811525031096771e-170,6.327895650512423e-167
ENSG00000113070.7,3623.650773481167,3.270969917272583,0.12027087725210929,27.196691268959853,7.107340060254343e-163,8.679585215012035e-160
ENSG00000112715.21,6092.31748414346,1.691090871537162,0.06356724062175258,26.603182000611714,6.23636842632612e-156,7.108212732326511e-153
ENSG00000178726.6,2690.4660383249,2.0244828410861455,0.08168410614108286,24.784293257607626,1.324147090683461e-135,1.4149339255884457e-132
ENSG00000143384.12,6841.966722201203,1.2831288405536188,0.05204432792757891,24.65453761530223,3.290038247812696e-134,3.3088108189913923e-131
ENSG00000163435.15,1817.0467020269261,-2.2812205825997025,0.09375237309602262,-24.332403621007455,8.903388807889243e-131,8.456735469360133e-128
ENSG00000149798.4,1127.1498344017787,2.0955167566154542,0.08777393633109656,23.874020514596133,5.70284336752108e-126,5.1316585818162055e-123
ENSG00000018408.14,9165.222880674686,1.2370899334242977,0.05203622844041228,23.773627922340953,6.260840922378697e-125,5.35207986249543e-122
ENSG00000107554.16,5790.254313986071,1.5559913997295496,0.0657644725041191,23.66006052328773,9.299506463377476e-124,7.571126762112605e-121
ENSG00000106089.11,1295.5892990714005,1.7894843582571274,0.07587325622069381,23.585179381942226,5.4707931964493285e-123,4.2515523308951895e-120
ENSG00000230439.2,1012.5002903642812,2.07046097198501,0.08906964014498563,23.24541750269518,1.582755145227273e-119,1.1275151965812787e-116
ENSG00000138166.5,671.3810829614233,2.7018669288796118,0.11622611421362807,23.246642522294746,1.538238213179044e-119,1.1275151965812787e-116
ENSG00000110047.17,4816.416613653793,1.4369084373396903,0.06354464016439808,22.61258280198338,3.259001751596856e-113,2.2287661178820577e-110
ENSG00000187678.8,415.0971597648857,6.193275887246682,0.27683808800467596,22.37147327481208,7.463100222139534e-111,4.9075624806892154e-108
ENSG00000144136.10,11450.575982599968,1.4970456450488676,0.06749673864779696,22.179525633980095,5.414675430004054e-109,3.428692808399233e-106
ENSG00000175793.11,6511.47227682422,1.1891858656662018,0.05418142530775293,21.948220426309803,9.005832140803646e-107,5.499025432547141e-104
ENSG00000131746.12,411.4603447534337,4.979616591052832,0.22698432074452393,21.938152268488643,1.1237504367727465e-106,6.625090075001258e-104
ENSG00000123689.5,1156.2753922497423,1.9601507228812365,0.08978609817437433,21.83133873435965,1.1694507343065595e-105,6.664699734813082e-103
ENSG00000104689.9,840.9082305216891,2.0380532090056263,0.09518239684946869,21.41208118796183,1.0310399669247495e-101,5.686351714358852e-99
ENSG00000165732.12,7559.503258913491,1.1561849137268871,0.05407957062818406,21.379328650296845,2.0810150605872054e-101,1.1118473278393578e-98
ENSG00000073008.14,5142.317156086089,1.1396889998246313,0.05341038153779286,21.338342228807978,5.0037550449885314e-101,2.592400000126331e-98
ENSG00000181026.14,1122.515291275018,1.9355498299051488,0.09105525556868714,21.256871092356388,2.847816189006148e-100,1.4320327465717093e-97
ENSG00000163661.3,744.3870734183344,3.207227259624192,0.15369120249760748,20.86799509343496,1.04630823149271e-96,5.11106623823739e-94
ENSG00000134686.18,5712.728266720174,1.5209533114877776,0.07358397192650447,20.669627796212236,6.501568131596129e-95,3.087703065163862e-92
ENSG00000135074.15,4506.916833506349,1.1344212820125967,0.05525285496947904,20.53145095650236,1.127572236623313e-93,5.210297980959131e-91
ENSG00000006468.13,601.2034720873623,2.7169021611799167,0.13253079602520904,20.500157266565633,2.1459884312536867e-93,9.655253739248496e-91
ENSG00000198369.9,760.6316200080914,2.022269330520233,0.10035718340076667,20.15071828435536,2.652375448287551e-90,1.162760590753135e-87
ENSG00000104081.13,5524.0633571670705,-1.400913574452144,0.06958807876371528,-20.13151676753304,3.908463566248603e-90,1.6705750398038091e-87
ENSG00000188042.7,4134.171232143024,1.3025606673001457,0.06572538989100377,19.818226555373165,2.0728567455827077e-87,8.643812629079892e-85
ENSG00000067798.14,2540.0958837680423,1.824896681207156,0.09267026825654408,19.692364288351865,2.507102609467168e-86,1.0205698408109565e-83
