IDENTIFIER,GSM1338298,GSM1338302,GSM1338306,GSM1338297,GSM1338301,GSM1338305,GSM1338296,GSM1338300,GSM1338304,GSM1338295,GSM1338299,GSM1338303,label
CFB,-0.308292979,-0.318547003,-0.317816087,-0.28435342,-0.300815951,-0.311225368,-0.240658404,-0.274398286,-0.222047759,0.11910804,0.038144213,0.058140652,FALSE
GTSE1,-0.105847914,-0.088412737,-0.112552963,-0.156679964,-0.116383956,-0.03477252,-0.181875566,-0.144038599,-0.182243218,-0.22266166,-0.217561681,-0.205887547,FALSE
HK1,0.482432265,0.404350722,0.344072994,0.27360987,0.288203213,0.26109975,0.445325666,0.37294407,0.187456658,0.347630979,0.279959517,0.242527213,FALSE
ABHD11,-0.316580117,-0.31840704,-0.315463393,-0.310550694,-0.304477502,-0.306486219,-0.307609783,-0.298677434,-0.311446294,-0.295218054,-0.293158804,-0.305027755,FALSE
MAPK8,-0.306117216,-0.308220899,-0.294254361,-0.30526445,-0.307694773,-0.309590522,-0.289528335,-0.283318704,-0.289718263,-0.287653419,-0.283366516,-0.288980587,TRUE
SVIL,0.008787379,0.00384635,0.041767351,0.060180678,0.062039341,-0.012427262,-0.067233119,-0.080224901,-0.102300613,-0.054656801,-0.062255661,-0.054248936,FALSE
NAXD,0.023484876,0.073614232,-0.046605266,-0.130427873,-0.123776648,-0.11444727,0.125603261,0.239724745,0.145672783,-0.061289008,-0.091327749,-0.050413642,FALSE
ZNF570,-0.304403988,-0.316025365,-0.308738348,-0.311537503,-0.312680006,-0.318439746,-0.285233589,-0.255494657,-0.263711812,-0.267366495,-0.26479234,-0.286968535,FALSE
CCR6,3.046298135,3.48862448,3.183967087,3.280532863,3.066443531,3.222523663,3.792878065,3.316688023,3.065628899,3.377229671,3.39253873,3.460659539,FALSE
ACP1,0.493446951,0.495189578,0.396515937,0.532432323,0.673424341,0.572165969,1.302128092,1.266905762,1.290730992,2.006841739,2.004179698,1.610163078,FALSE
AVEN,0.014471004,0.050754918,0.052915478,-0.095528558,-0.059598234,0.001323264,-0.074284109,-0.108704438,-0.103159405,-0.156164927,-0.158476336,-0.082253281,TRUE
DYNC2H1,-0.257668021,-0.254590142,-0.273499366,-0.230885107,-0.253936232,-0.260715761,-0.307284537,-0.31352278,-0.304621825,-0.309475351,-0.30881029,-0.29023652,FALSE
ZC3HAV1,-0.066685425,-0.124205026,-0.103552025,0.002578731,0.035835768,-0.006599461,0.054975977,0.070331132,0.045381805,-0.005888815,0.040874642,0.000994664,FALSE
NRIP3,0.108837664,0.064057539,0.159738808,0.00428008,0.010833788,0.078259207,-0.231903673,-0.251421362,-0.250391957,-0.221205538,-0.222745711,-0.234681502,FALSE
GOLGA4,-0.177613288,-0.161188794,-0.2277329,-0.232063244,-0.234679485,-0.249372268,-0.080789781,-0.121973606,-0.081811516,-0.151832746,-0.138164867,-0.126565962,FALSE
DCLRE1C,-0.245636944,-0.235677114,-0.224302784,-0.252289207,-0.266722493,-0.259592513,-0.255100659,-0.252745377,-0.246369838,-0.269912128,-0.268419063,-0.265092022,FALSE
PDE7A,-0.291487435,-0.295487742,-0.299017275,-0.306851613,-0.304799449,-0.307646926,-0.293366988,-0.283515726,-0.302120025,-0.293491297,-0.302610217,-0.297055121,FALSE
OVGP1,-0.293102605,-0.306851648,-0.305306237,-0.298254421,-0.309825337,-0.315127494,-0.116114514,-0.163109603,-0.18356843,-0.149633365,-0.17155939,-0.188263534,FALSE
KAT6B,-0.307555143,-0.302728896,-0.323330056,-0.319333809,-0.30066212,-0.312327461,-0.332085348,-0.320933819,-0.319477978,-0.322482894,-0.319487248,-0.320142132,FALSE
CXCL16,-0.31072665,-0.327734986,-0.307461031,-0.308658626,-0.310732941,-0.303032098,-0.086241581,-0.090941511,-0.115593903,-0.077232172,-0.0993618,-0.120287393,FALSE
ARFGEF3,-0.290566436,-0.310683707,-0.275036635,-0.262352265,-0.266433193,-0.266336734,-0.257687102,-0.249617013,-0.240888956,-0.249133123,-0.239726553,-0.213261537,FALSE
CREBL2,-0.307135532,-0.299718926,-0.304460927,-0.285901871,-0.292450459,-0.298036093,-0.305490823,-0.319667623,-0.297316976,-0.293683806,-0.287799996,-0.277865123,FALSE
PPAT,0.447671946,0.460031607,0.415494657,0.092164912,0.211723533,0.148114428,0.477920461,0.468293839,0.614865028,0.135931608,0.228543348,0.073112397,FALSE
MCRIP1,-0.176738543,-0.141286387,-0.15378617,-0.090468336,-0.132226381,-0.07418877,-0.203728376,-0.198320672,-0.232828563,-0.166827476,-0.201914102,-0.213752941,FALSE
INF2,-0.237646937,-0.248935087,-0.223650368,-0.166616127,-0.20682637,-0.184045354,0.297810624,0.208877044,0.113971849,0.336129187,0.324722915,0.206815919,FALSE
TAF10,0.151845233,0.1784387,0.215621324,0.274611177,0.258723387,0.251826153,-0.087407608,-0.093717236,0.050316171,0.06535672,0.013042979,0.325568462,FALSE
NCOA6,0.135339042,0.269344557,0.133106286,0.465917944,0.437067326,0.271275555,0.661404205,0.47408817,0.445597523,0.379625104,0.414080376,0.467903881,FALSE
HMOX2,-0.309871516,-0.300863238,-0.324590541,-0.326127274,-0.320153276,-0.323888237,-0.299089079,-0.280826841,-0.282991736,-0.277067946,-0.289096365,-0.282481545,FALSE
BRK1,2.440788656,2.024285404,1.688704577,1.659678885,1.746252175,1.590111954,0.092718249,0.038424283,0.205667062,0.126636887,0.159855323,0.271157129,FALSE
MCU,-0.097950784,-0.015075291,-0.067835281,-0.126564779,-0.164292879,-0.137333619,-0.038460665,-0.034535501,-0.012197593,-0.1347993,-0.087701243,-0.068667267,FALSE
CTPS2,-0.286601424,-0.296306044,-0.287299399,-0.289082477,-0.288209349,-0.29732761,-0.270704802,-0.27653457,-0.27189167,-0.283917981,-0.286054203,-0.283270114,FALSE
SCAMP2,-0.293848581,-0.30743457,-0.299014283,-0.293873473,-0.301372674,-0.290127307,-0.316610506,-0.307309636,-0.309402675,-0.312243575,-0.29979358,-0.303146853,FALSE
FIBP,-0.129084167,-0.165077761,-0.080420311,0.033767119,0.055878153,0.022400791,0.091540259,0.13207103,0.126555405,0.359053759,0.330824476,0.311158322,FALSE
ZDHHC13,-0.22999859,-0.241231126,-0.239116667,-0.225832676,-0.239067827,-0.251785523,-0.154916516,-0.172695268,-0.164968044,-0.180426153,-0.190265108,-0.205582369,FALSE
VPS9D1,-0.309073737,-0.32145623,-0.327210331,-0.300666938,-0.301671546,-0.315102853,-0.209363734,-0.208803007,-0.208235747,-0.210789776,-0.185262416,-0.2260088,FALSE
NDFIP2,0.0538227,0.132400927,-0.001925735,-0.051741717,0.027075442,-0.00860752,1.790449813,1.824700186,1.601008345,1.81109751,1.842697839,1.51691325,FALSE
PTTG3P,2.04104043,2.289584177,2.35991117,1.423883362,1.578129227,1.521096743,2.677990738,2.641235506,2.901139008,2.024189279,2.566443587,2.554171328,FALSE
FAM134C,-0.297408246,-0.291859475,-0.275869976,-0.30949311,-0.304079372,-0.303068685,-0.291171763,-0.297071233,-0.27624301,-0.297735908,-0.28572378,-0.286648244,FALSE
LY6E,0.331485497,0.004905556,0.173032628,0.521004826,0.126408701,0.338522638,0.421140691,0.331892886,0.397977162,1.200698581,1.155962268,0.895959491,FALSE
UBE2N,0.436171488,0.469805934,0.774160722,0.251644432,0.239373609,0.278726629,0.281393222,0.290679582,0.26826812,0.023089369,0.196040801,0.215383466,FALSE
YARS2,0.006390341,-0.009992795,0.009484463,-0.090027904,-0.072714183,-0.042355756,0.00462736,0.031740537,0.058381832,0.044889951,0.041123981,-0.077903767,FALSE
CACNB3,0.033246204,-0.065638786,0.122214495,0.182156953,0.079358302,0.033257079,0.084418114,0.02859944,0.002022293,-0.020871483,-0.032743733,-0.086496031,FALSE
WDR60,-0.166972774,-0.157743555,-0.214513887,-0.15790996,-0.183861684,-0.2209202,-0.203533976,-0.241265521,-0.23166665,-0.240708312,-0.243719833,-0.258190667,FALSE
GNAT2,-0.324503888,-0.332830902,-0.326064599,-0.326274815,-0.332381985,-0.327411051,-0.326047731,-0.327074534,-0.309205511,-0.312968018,-0.310584839,-0.31522136,FALSE
PGM1,1.061851171,1.03865486,0.825462851,0.794248035,0.769240357,0.797165039,1.537228788,1.324661432,1.123119063,1.482029799,1.411286197,1.377586952,FALSE
NSF,0.018285544,-0.046664456,-0.049441321,-0.063419231,-0.06270211,-0.037392903,-0.11358522,-0.142050513,-0.071349079,-0.109024199,-0.12961187,-0.144900639,FALSE
ASCC3,-0.174173512,-0.143030732,-0.1863714,-0.203838704,-0.218644038,-0.198938822,-0.033963481,-0.062625809,-0.076473227,-0.083575567,-0.088075251,-0.049308531,FALSE
