IDENTIFIER,GSM1338298,GSM1338302,GSM1338306,GSM1338297,GSM1338301,GSM1338305,GSM1338296,GSM1338300,GSM1338304,GSM1338295,GSM1338299,GSM1338303,label
HID1,111.977,95.9276,103.4,102.712,92.3824,97.3876,156.912,158.643,127.784,193.797,190.915,181.61,FALSE
CXADR,1660.61,1573.83,1445.9,1611.09,1734.27,1663.63,1495.19,1531.96,1559.83,1764.85,2030.41,2130.4,FALSE
HIST1H3C,120.917,116.156,131.05,109.724,118.029,124.211,109.426,98.9759,110.398,102.907,103.802,104.672,FALSE
USP14,315.9595,385.353,288.315,295.501,337.5575,297.394,496.2625,530.9215,463.2345,472.5075,475.863,420.294,FALSE
ASB12,92.5435,99.9123,96.7482,96.6339,94.3508,101.934,98.6041,95.3645,88.0022,100.646,98.5692,101.154,FALSE
APEX2,715.55,909.545,828.019,646.338,608.551,684.856,594.72,569.987,466.09,419.572,458.05,375.75,FALSE
HPSE,355.6605,308.437,322.9605,424.417,420.0705,356.687,239.4765,238.2695,226.5375,197.2195,196.4025,213.7465,FALSE
PAX9,108.536,101.546,101.708,106.344,105.199,112.6,99.3348,114.063,110.54,101.175,101.591,101.805,FALSE
PDGFRB,97.8481,93.9032,100.543,110.338,102.473,103.428,102.997,94.5852,112.67,99.8168,94.9556,94.1681,TRUE
BTNL8,96.7432,99.681975,99.150175,98.77385,94.54595,96.6791,96.532875,96.42185,96.75305,92.444875,93.481725,99.22825,FALSE
NCK2,291.1675,260.93715,310.669,250.6625,277.911,258.00025,821.827,793.584,911.663,874.2255,751.6855,850.1885,TRUE
ARHGEF19,155.931,137.98,168.544,173.836,149.99,166.76,260.485,262.675,233.667,380.151,340.563,333.638,FALSE
NAA15,333.355,326.777,366.453,341.164,384.584,303.146,263.649,268.637,262.212,271.756,297.079,282.557,TRUE
FAM9A,97.7448,108.856,103.267,91.8791,96.9546,95.322,93.6433,100.113,108.458,95.1772,97.7064,99.894,FALSE
NCOA6,722.49,877.541,712.887,1185.04,1142.4,903.762,1417.79,1162.58,1116.3,1067.55,1115.49,1173.19,FALSE
BPHL,349.802,357.199,340.349,510.735,439.781,401.524,364.411,346.454,289.012,540.914,595.126,488.482,FALSE
SNRNP35,175.316,165.093,206.705,173.387,165.435,173.724,147.827,144.802,130.775,157.053,177.78,195.87,FALSE
BARX2,135.602,134.316,138.007,104.103,121.952,109.418,224.749,219.629,171.08,270.729,319.61,207.001,FALSE
CHM,444.299,467.093,480.825,472.549,463.4005,440.7905,216.167,201.449,218.1795,183.555,193.536,222.406,TRUE
SCN3A,96.24643333,101.823,96.1055,101.1642667,93.40926667,98.85056667,92.358,100.9002,95.10553333,97.52576667,95.73796667,95.5556,FALSE
FLG2,95.4772,91.20515,94.64215,92.9735,97.2167,93.25885,96.4444,99.45285,92.19985,94.3181,91.58085,95.8967,FALSE
SH3RF2,151.12,118.634,140.842,145.649,143.853,134.899,219.278,218.266,255.268,255.513,218.071,245.802,FALSE
MMGT1,1636.273,1693.934333,1757.939333,1341.848333,1402.850267,1700.142,1340.724667,1240.6645,1107.457533,1212.677,1180.556333,1187.554667,FALSE
PRR5,106.610825,99.746425,105.606375,102.87835,105.128625,108.856425,114.3877,116.18075,120.07475,117.12275,121.19565,107.8476,FALSE
FXYD6,95.4586,92.2042,86.4591,90.4155,100.493,90.7655,94.9615,99.2482,109.062,104.134,97.6752,103.849,FALSE
FOLH1B,99.55,105.92,113.302,90.6902,96.612,93.9098,92.0922,99.7451,100.12,99.0271,92.5668,119.663,FALSE
FOXRED1,459.976,550.407,534.527,535.51,526.531,614.499,692.456,733.32,736.753,722.91,851.037,775.245,FALSE
NRM,173.695,229.104,176.089,194.185,204.667,225.919,141.922,147.161,127.689,137.826,148.322,115.081,FALSE
ATP2B1,307.861,312.1226667,314.361,331.9596333,298.9616667,303.3956667,154.026,150.6076667,183.7123333,171.195,154.3093,199.5441667,FALSE
