row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000225630.1,1872.0089295732728,0.3888759558949468,0.10117508417374453,3.8435940930589516,0.00012124548221847092,0.005426281348831006
ENSG00000272512.1,280.4330711382861,-1.156051374458631,0.2505642413589953,-4.6137923280213835,3.953874975825508e-06,0.00035371791699900047
ENSG00000188290.10,427.4958884266243,-0.7729870603148794,0.1949486662840268,-3.9650800133645983,7.33713313418317e-05,0.003653892300823219
ENSG00000158286.12,1559.2056627357554,-0.5163570178271824,0.1352079971028571,-3.818982818260172,0.00013400309489349074,0.0058709860343365144
ENSG00000116661.10,579.0362835569872,-0.8167727043346497,0.1513613356421853,-5.396177966250783,6.80754261164545e-08,1.3208400859478313e-05
ENSG00000116771.5,129.09946980031685,0.956171465562882,0.296539151778235,3.2244358285544337,0.0012622114183526633,0.02716666483101189
ENSG00000159423.16,470.064999398068,-0.6207993798057698,0.15415592711772047,-4.02708732264118,5.6472063804098267e-05,0.002909284942183545
ENSG00000173436.13,2124.0216307174896,0.3442787240154202,0.09846045143992607,3.4966193936808816,0.0004711935851690227,0.013836327605403854
ENSG00000162542.13,703.7271598293124,-0.4790005153513959,0.15962510401214675,-3.0007843585489296,0.0026928519208440343,0.04533891473536797
ENSG00000142798.17,12915.302162868911,-0.5000482457747193,0.15573955706605308,-3.2107979192636087,0.0013236698228974106,0.02805053497033661
ENSG00000162552.14,682.075217434831,-1.1285205713086202,0.1702918128326286,-6.626980783966327,3.426222142326993e-11,1.7650951312539753e-08
ENSG00000204219.9,146.37650649109816,-0.92036300405341,0.2933948074054932,-3.136943738685193,0.001707188833205629,0.03338403294252892
ENSG00000001460.17,361.05108838645805,0.6471775529818267,0.21102486960573652,3.0668307209049153,0.0021634133657415697,0.03951270866036559
ENSG00000001461.16,2694.925733473609,0.4774618201679761,0.13123463338756278,3.638230304327772,0.0002745178938756959,0.009391926016125755
ENSG00000204178.9,747.6531138331069,0.6378440761163339,0.13595843492288287,4.6914638027285775,2.712572679513258e-06,0.00027757421802690463
ENSG00000127423.10,528.7660960855491,0.5069458350440482,0.15897930592060766,3.1887536060649984,0.0014288761219094124,0.029243026385378932
ENSG00000142784.15,832.0764954667809,-0.4684835692894889,0.13223092365049668,-3.542919888601483,0.0003957228954688946,0.012265767755820096
ENSG00000142765.17,986.093639870147,-0.7262189737739002,0.22735887014104655,-3.1941528092718614,0.0014024186216111025,0.028939411887941812
ENSG00000242125.3,1779.3735028168514,-0.7680443072289507,0.1515157015593432,-5.069074025493889,3.997557425151649e-07,5.9132186071055105e-05
ENSG00000084623.11,7929.962226884724,0.3663822604972207,0.12208136043689966,3.0011318614572056,0.002689780602391569,0.04533891473536797
ENSG00000092853.13,1348.8372292657637,0.7059448996629886,0.13572028904671546,5.201469173264137,1.9771927089859367e-07,3.109395691815778e-05
ENSG00000084073.8,4093.923572794862,0.3563981139025802,0.09727582734103014,3.663789079409397,0.00024851145083288283,0.008861004953325225
ENSG00000164002.11,687.8614424062973,0.47479919939044496,0.13052114082849875,3.6377187356515552,0.00027506356507563367,0.009391926016125755
ENSG00000127129.9,33.737852658420515,-2.142876496889516,0.6642855156235605,-3.2258365514382947,0.0012560506504956895,0.027078494543153833
ENSG00000117395.12,8805.505690095491,0.4931896416402952,0.15707505712294506,3.1398342338610017,0.0016904345804647245,0.03318671830767803
ENSG00000196517.11,1394.0607362505325,-0.8073423821284853,0.2155744511869705,-3.7450745099115057,0.00018034024564452983,0.007146639973287205
ENSG00000070785.16,1153.5486542662684,0.5414489972667369,0.12659361594049695,4.277063999192781,1.893743726515819e-05,0.001200751589570104
ENSG00000117448.13,3171.730969812721,-0.4814978855973613,0.13326090245094752,-3.6131969448023034,0.0003024448030385763,0.010063530862798063
ENSG00000186377.7,189.70950991374505,-1.5684412927853988,0.3307131235600517,-4.742603728275082,2.1098873412872217e-06,0.00022841823825239926
ENSG00000123473.15,1500.3647836819184,0.4759712741165937,0.1271588938904157,3.7431221643590353,0.00018174781071607832,0.007183365852111666
ENSG00000169213.6,220.90164602339016,1.1201361943918495,0.2621219301456483,4.273340249590887,1.92566263607909e-05,0.0012138987250220087
ENSG00000085840.12,558.1007374106679,1.0476135297183955,0.23408363264987256,4.475381374849687,7.62750389208756e-06,0.000602936021945969
ENSG00000058804.11,2587.575182763171,0.3946478133611812,0.13083522369754572,3.016372825360058,0.002558185036215336,0.04395294800631612
ENSG00000116221.15,4289.0844240136685,0.3490840852124878,0.09381201321209497,3.721102162291953,0.00019835516678319456,0.0075932525269113045
ENSG00000116133.11,12990.608212167295,-0.3275255987522476,0.08439557523955411,-3.880838513424155,0.00010409694540883264,0.004801952787599715
ENSG00000184292.6,19897.398867587206,-1.1642689586178463,0.1083388310931871,-10.74655270755512,6.151799249962646e-27,2.297697019861048e-23
ENSG00000125703.14,174.44633693693615,0.8059423650958292,0.24449060384213298,3.296414473319491,0.0009792742605822806,0.02306968280873799
ENSG00000171517.5,229.3261025057048,0.7349056786736468,0.22802843051567695,3.222868644105858,0.001269137392280679,0.027174659127958
ENSG00000142871.16,9289.541005633679,-0.6549546638209297,0.19219554916424986,-3.4077514628666403,0.0006550052492692245,0.017537237319143747
ENSG00000223745.7,129.20118805812695,-1.0212279910907691,0.28896368021289925,-3.5341050139531744,0.0004091584785044974,0.012526286206674573
ENSG00000137970.7,180.98934820347554,0.5845077347246751,0.18730692636484308,3.1205879359001933,0.0018049040016866772,0.0348088043519979
